,FPR,TNR,TPR,FNR
0,0.0,1.0,0.0,1.0
1,0.0,1.0,0.0,1.0
2,0.0,1.0,0.0,1.0
3,0.0,1.0,0.0,1.0
4,0.0,1.0,0.0,1.0
5,0.0,1.0,0.0,1.0
6,0.0,1.0,0.0,1.0
7,0.0,1.0,0.0,1.0
8,0.0,1.0,0.0,1.0
9,0.0,1.0,0.0,1.0
10,0.0,1.0,0.0,1.0
11,0.0,1.0,0.0,1.0
12,0.0,1.0,0.0,1.0
13,0.0,1.0,0.0,1.0
14,0.0,1.0,0.0,1.0
15,0.0,1.0,0.0,1.0
16,0.0,1.0,0.0,1.0
17,0.0,1.0,0.0,1.0
18,0.0,1.0,0.0,1.0
19,0.0,1.0,0.0,1.0
20,0.0,1.0,0.0,1.0
21,0.0,1.0,0.0,1.0
22,0.0,1.0,0.0,1.0
23,0.0,1.0,0.0,1.0
24,0.0,1.0,0.0,1.0
25,0.0,1.0,0.0,1.0
26,0.0,1.0,0.0,1.0
27,0.0,1.0,0.0,1.0
28,0.0,1.0,0.0,1.0
29,0.0,1.0,0.0,1.0
30,0.0,1.0,0.0,1.0
31,0.0,1.0,0.0,1.0
32,0.0,1.0,0.0,1.0
33,0.0,1.0,0.0,1.0
34,0.0,1.0,0.0,1.0
35,0.0,1.0,0.0,1.0
36,0.0,1.0,0.0,1.0
37,0.0,1.0,0.0,1.0
38,0.0,1.0,0.0,1.0
39,0.0,1.0,0.0,1.0
40,0.0,1.0,0.0,1.0
41,0.0,1.0,0.0,1.0
42,0.0,1.0,0.0,1.0
43,0.0,1.0,0.0,1.0
44,0.0,1.0,0.0,1.0
45,0.0,1.0,0.0,1.0
46,0.0,1.0,0.0,1.0
47,0.0,1.0,0.0,1.0
48,0.0,1.0,0.02040816326530612,0.9795918367346939
49,0.0,1.0,0.04,0.96
50,0.0,1.0,0.058823529411764705,0.9411764705882353
51,0.0,1.0,0.07692307692307693,0.9230769230769231
52,0.0,1.0,0.09433962264150944,0.9056603773584906
53,0.0,1.0,0.1111111111111111,0.8888888888888888
54,0.0,1.0,0.12727272727272726,0.8727272727272727
55,0.0,1.0,0.14285714285714285,0.8571428571428571
56,0.0,1.0,0.15789473684210525,0.8421052631578947
57,0.0,1.0,0.1724137931034483,0.8275862068965517
58,0.0,1.0,0.1864406779661017,0.8135593220338984
59,0.0,1.0,0.2,0.8
60,0.0,1.0,0.21311475409836064,0.7868852459016393
61,0.0,1.0,0.22580645161290322,0.7741935483870968
62,0.0,1.0,0.23809523809523808,0.7619047619047619
63,0.0,1.0,0.25,0.75
64,0.0,1.0,0.26153846153846155,0.7384615384615385
65,0.0,1.0,0.2727272727272727,0.7272727272727273
66,0.0,1.0,0.2835820895522388,0.7164179104477612
67,0.0,1.0,0.29411764705882354,0.7058823529411765
68,0.0,1.0,0.30434782608695654,0.6956521739130435
69,0.0,1.0,0.3142857142857143,0.6857142857142857
70,0.0,1.0,0.323943661971831,0.676056338028169
71,0.0,1.0,0.3333333333333333,0.6666666666666666
72,0.0,1.0,0.3424657534246575,0.6575342465753424
73,0.0,1.0,0.35135135135135137,0.6486486486486487
74,0.0,1.0,0.36,0.64
75,0.0,1.0,0.3684210526315789,0.631578947368421
76,0.0,1.0,0.37662337662337664,0.6233766233766234
77,0.0,1.0,0.38461538461538464,0.6153846153846154
78,0.0,1.0,0.3924050632911392,0.6075949367088608
79,0.0,1.0,0.4,0.6
80,0.0,1.0,0.4074074074074074,0.5925925925925926
81,0.0,1.0,0.4146341463414634,0.5853658536585366
82,0.0,1.0,0.42168674698795183,0.5783132530120482
83,0.0,1.0,0.42857142857142855,0.5714285714285714
84,0.0,1.0,0.43529411764705883,0.5647058823529412
85,0.0,1.0,0.4418604651162791,0.5581395348837209
86,0.0,1.0,0.4482758620689655,0.5517241379310345
87,0.0,1.0,0.45454545454545453,0.5454545454545454
88,0.0,1.0,0.4606741573033708,0.5393258426966292
89,0.0,1.0,0.4666666666666667,0.5333333333333333
90,0.0,1.0,0.4725274725274725,0.5274725274725275
91,0.0,1.0,0.4782608695652174,0.5217391304347826
92,0.0,1.0,0.4838709677419355,0.5161290322580645
93,0.0,1.0,0.48936170212765956,0.5106382978723404
94,0.0,1.0,0.49473684210526314,0.5052631578947369
95,0.0,1.0,0.5,0.5
96,0.0,1.0,0.5051546391752577,0.4948453608247423
97,0.0,1.0,0.5102040816326531,0.4897959183673469
98,0.0,1.0,0.5151515151515151,0.48484848484848486
99,0.0,1.0,0.52,0.48
100,0.0,1.0,0.5247524752475248,0.4752475247524752
101,0.0,1.0,0.5294117647058824,0.47058823529411764
102,0.0,1.0,0.5339805825242718,0.46601941747572817
